zone1           -> junction2       -> pressure                      : 1975.5701904296875            , registers: [62015, 17654]      , address: 4
zone1           -> junction2       -> elevation                     : 0.0                           , registers: [0, 0]              , address: 6

zone1           -> junction3       -> index                         : 8                             , registers: [0, 16640]          , address: 8
zone1           -> junction3       -> hydraulic_head                : 1975.5701904296875            , registers: [62015, 17654]      , address: 10
zone1           -> junction3       -> pressure                      : 1975.5701904296875            , registers: [62015, 17654]      , address: 12
zone1           -> junction3       -> elevation                     : 0.0                           , registers: [0, 0]              , address: 14

zone1           -> junction4       -> index                         : 9                             , registers: [0, 16656]          , address: 16
zone1           -> junction4       -> hydraulic_head                : 1975.5701904296875            , registers: [62015, 17654]      , address: 18
zone1           -> junction4       -> pressure                      : 1975.5701904296875            , registers: [62015, 17654]      , address: 20
zone1           -> junction4       -> elevation                     : 0.0                           , registers: [0, 0]              , address: 22

zone1           -> junction1       -> index                         : 10                            , registers: [0, 16672]          , address: 24
zone1           -> junction1       -> hydraulic_head                : 1975.5701904296875            , registers: [62015, 17654]      , address: 26
zone1           -> junction1       -> pressure                      : 1975.5701904296875            , registers: [62015, 17654]      , address: 28
zone1           -> junction1       -> elevation                     : 0.0                           , registers: [0, 0]              , address: 30

zone1           -> node2           -> index                         : 11                            , registers: [0, 16688]          , address: 32
zone1           -> node2           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 34
zone1           -> node2           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 36
zone1           -> node2           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 38

zone1           -> node3           -> index                         : 12                            , registers: [0, 16704]          , address: 40
zone1           -> node3           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 42
zone1           -> node3           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 44
zone1           -> node3           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 46

zone1           -> node4           -> index                         : 13                            , registers: [0, 16720]          , address: 48
zone1           -> node4           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 50
zone1           -> node4           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 52
zone1           -> node4           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 54

zone1           -> node5           -> index                         : 14                            , registers: [0, 16736]          , address: 56
zone1           -> node5           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 58
zone1           -> node5           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 60
zone1           -> node5           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 62

zone1           -> node6           -> index                         : 15                            , registers: [0, 16752]          , address: 64
zone1           -> node6           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 66
zone1           -> node6           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 68
zone1           -> node6           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 70

zone1           -> node7           -> index                         : 16                            , registers: [0, 16768]          , address: 72
zone1           -> node7           -> hydraulic_head                : 1975.56884765625              , registers: [62004, 17654]      , address: 74
zone1           -> node7           -> pressure                      : 1975.56884765625              , registers: [62004, 17654]      , address: 76
